Unique_ID,Creative_Dimension,Reporting_Label,Creative_Groups_1,Creative_Groups_2,isDefault,isActive,Start_Date,End_Date,Ad_ID,Placement_ID,Site_ID,Campaign_ID,Creative_ID,Targeting_Key,AdTag_Parameter,Geo,backgroundImg,logoImg,introText1,introText2,sublineText,boxTextDeviceTitle,boxTextValue,boxTextValueExtra,boxTextSubline,deviceImg,ctaButton,icmMods,icmAdID,icmClickUrl,icmFormat,icmTemplate,icmTrack
22_0_250x360,250x360,Neeraj,,,FALSE,TRUE,2016-10-07 00:00:00+02:00,2016-11-17 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/74x150/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""90%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValue"":{""color"":""#ffffff""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,250x360,tele2_produktmall,tele2_22_0
22_0_250x360_1,250x360,Neeraj,,,FALSE,TRUE,2016-11-30 18:26:00+01:00,2016-12-31 00:00:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/74x150/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""90%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValue"":{""color"":""#ffffff""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,250x360,tele2_produktmall,tele2_22_0
22_0_160x600,160x600,Neeraj,,,FALSE,TRUE,2016-10-07 00:00:00+02:00,2016-11-17 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPP-<br>KOPPLINGEN.<br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung <br>Galaxy S7 Edge,299 KR,/mån, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/122x250/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""84%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""60%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,160x600,tele2_produktmall,tele2_22_0
22_0_160x600_1,160x600,Neeraj,,,FALSE,TRUE,2016-11-30 18:26:00+01:00,2016-12-31 00:00:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPP-<br>KOPPLINGEN.<br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung <br>Galaxy S7 Edge,299 KR,/mån, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/122x250/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""84%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""60%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_0,http://www.tele2.se,160x600,tele2_produktmall,tele2_22_0
22_87_1250x360,1250x360,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""95%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""50%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,1250x360,tele2_produktmall,tele2_22_87
22_87_1250x300,1250x300,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""50%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,1250x300,tele2_produktmall,tele2_22_87
22_87_1100x210,1100x210,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""60%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,1100x210,tele2_produktmall,tele2_22_87
22_87_1000x240,1000x240,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""60%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,1000x240,tele2_produktmall,tele2_22_87
22_87_980x300,980x300,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""60%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,980x300,tele2_produktmall,tele2_22_87
22_87_980x240,980x240,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""60%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,980x240,tele2_produktmall,tele2_22_87
22_87_980x120,980x120,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""120%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,980x120,tele2_produktmall,tele2_22_87
22_87_852x210,852x210,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/238x480/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""65%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""90%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""95%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,852x210,tele2_produktmall,tele2_22_87
22_87_728x90,728x90,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/146x300/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""90%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""120%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""120%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,728x90,tele2_produktmall,tele2_22_87
22_87_520x360,520x360,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/122x250/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""88%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""130%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""120%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,520x360,tele2_produktmall,tele2_22_87
22_87_480x280,480x280,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/90x180/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""88%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""130%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""120%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,480x280,tele2_produktmall,tele2_22_87
22_87_320x320,320x320,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,Samsung <br>Galaxy S7 Edge,299 KR,/mån i 24 månader, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/90x180/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""80%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""80%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,320x320,tele2_produktmall,tele2_22_87
22_87_320x160,320x160,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,Samsung<br> Galaxy S7 Edge,299 KR,/mån, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/74x150/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""90%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""90%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""100""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,320x160,tele2_produktmall,tele2_22_87
22_87_320x90,320x90,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,Samsung Galaxy S7 Edge,299 KR,/mån, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/_base/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""80%""},""introText1"":{""color"":""#ffffff""},""sublineTextContainer"":{""fontSizeP"":""100%""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""90%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""boxTextSubline"":{""fontSizeP"":""100%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204"",""fontSizeP"":""100%""}}",22_87,http://www.tele2.se,320x90,tele2_produktmall,tele2_22_87
22_87_320x80,320x80,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,Samsung Galaxy S7 Edge,299 KR,/mån, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/_base/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""80%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,320x80,tele2_produktmall,tele2_22_87
22_87_320x50,320x50,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,Samsung Galaxy S7 Edge,299 KR,/mån, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/_base/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""85%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""110%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""120%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,320x50,tele2_produktmall,tele2_22_87
22_87_300x600,300x600,Red Samsung S7 Edge,,,FALSE,TRUE,2016-11-17 18:26:00+01:00,2016-11-30 18:26:00+01:00,,,,,,,,,https://adlayer-59b0.kxcdn.com/assets/blank.gif,https://s0.2mdn.net/ads/richmedia/studio/42758667/Tele2_logo_white.svg,MAXA UPPKOPPLINGEN. <br>FÖR ALLT OCH ALLA., , ,<span style=color:#700000>Julerbjudande</span><br>Samsung Galaxy S7 Edge,299 KR,/mån, ,https://adlayer-59b0.kxcdn.com/public/clients/e5cfee9accfd50c9ce99d89fc2306ccf033cd572/122x250/1479217245__samsung_s7_edge_gold_front_238x480.png,Köp här,"{""setBackgroundColor"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""introTextContainer"":{""fontSizeP"":""90%""},""introText1"":{""color"":""#ffffff""},""boxTextContainer"":{""backgroundColor"":""#e4002b"",""borderColor"":""#e4002b""},""boxTextDeviceTitle"":{""color"":""#ffffff"",""fontSizeP"":""90%""},""boxTextValue"":{""color"":""#ffffff"",""fontSizeP"":""100%""},""boxTextValueExtra"":{""color"":""#ffffff"",""fontSizeP"":""140%""},""ctaButton"":{""backgroundColor"":""#8b0204"",""borderColor"":""#8b0204""}}",22_87,http://www.tele2.se,300x600,tele2_produktmall,tele2_22_87
